Product Name,Brand,Laptop Type,Price,Discount,MRP,Rating,Review Count,Processor,RAM,Storage,Storage Type,Graphics,Display Size,GPU,Availability,Touchscreen,Operating System,Laptop Use
DELL Alienware 15 AMD Ryzen 5 14th Gen 220 - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,Dell,Standard Notebook,131990,18.56,162063,,,AMD Ryzen 5 Processor (14th Gen),16,512,SSD,Integrated,15.3,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
ASUS TUF Gaming A15 (2026) AMD Ryzen 7 Octa Core 170 - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,ASUS,Gaming,108000,28,150000,,,AMD Ryzen 7 Octa Core,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Gaming
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,ASUS,Standard Notebook,24402,15.83,28990,3.9,87,Intel Celeron Dual Core,4,64,eMMC,Integrated,14,Not Specified,In Stock,No,Chrome OS,Student / Everyday
ASUS Expertbook P1 with 1 Yr ADP(i3 14th Gen) Intel Core 3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 1...,ASUS,Standard Notebook,47990,31.43,69990,4.3,687,Intel Core 3 Processor (13th Gen),8,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Business
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,Thin & Light,33990,32.01,49990,3.8,1047,Intel Celeron Dual Core,8,256,SSD,Integrated,11.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"Apple MacBook Air (M5, 2026) M5 - (16 GB/512 GB SSD/Tahoe) MDH74HN/A",Apple,Thin & Light,149900,0,149900,4.7,149,Apple M5,16,512,SSD,Integrated,13.6,Not Specified,In Stock,No,macOS,Student / Everyday
Lenovo Chromebook 11IJL9 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) Chromeboo...,Lenovo,Standard Notebook,16990,53.45,36502,3.8,49,Intel Celeron Dual Core,4,64,eMMC,Integrated,11.6,Not Specified,In Stock,No,Chrome OS,Student / Everyday
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,ASUS,Standard Notebook,42990,43.43,75990,4.3,118,Intel Core i3 Processor (13th Gen),8,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"Acer Aspire 15 Lite(i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) AL 15-52H , AL...",Acer,Standard Notebook,64990,11.48,73418,4.3,7,Intel Core 5,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",ASUS,Standard Notebook,43990,34.33,66990,4.2,514,Intel Core i5 Processor (12th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Student / Everyday
ASUS Expertbook AMD Ryzen 5 Hexa Core 150 - (16 GB/512 GB SSD/Windows 11 Home) PM1503CDA-S70546WS Lapt...,ASUS,Standard Notebook,67990,60,169990,4.3,19,AMD Ryzen 5 Hexa Core,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Business
HP Victus (i5 14th Gen) Intel Core 5 210 H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,HP,Gaming,94990,0.79,95746,4.3,14,Intel Core 5,16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11,Gaming
ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 14th Gen 100U - (16 GB/512 GB SSD/Windows ...,ASUS,Standard Notebook,59990,20,74990,4.3,687,Intel Core 3 Processor (14th Gen),16,512,SSD,Integrated,14,Not Specified,In Stock,No,Windows 11 Home,Business
Acer One 15 AMD Ryzen 3 Octa Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) AO15-41M-G2 Notebook,Acer,Standard Notebook,42899,25.39,57500,3.6,5,AMD Ryzen 3 Octa Core,8,256,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Student / Everyday
Acer Nitro V 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,Acer,Gaming,104990,8.7,114999,4.2,47,Intel Core i5 Processor (13th Gen),16,512,SSD,Integrated,15.6,Not Specified,In Stock,No,Windows 11 Home,Gaming
